20,20,20,9,23,23,23,28,127,128,28,23,23,23,-2147483639,20
20,20,20,19,35,36,37,38,142,143,38,35,36,37,-2147483629,20
20,20,20,19,45,46,47,48,142,-2147483506,48,45,46,47,-2147483629,20
20,20,20,19,109,139,-1,58,-1,20,-1,-1,124,79,-2147483629,20
20,20,20,19,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2147483629,20
20,20,20,19,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2147483629,20
20,20,20,19,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2147483629,20
20,20,20,19,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2147483629,20
20,20,20,19,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2147483629,20
20,20,20,19,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2147483629,20
20,20,20,19,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2147483629,20
20,20,20,19,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2147483629,20
20,20,20,29,7,7,14,-1,-1,-1,-1,12,7,7,-1073741815,20
20,20,20,20,20,20,36,-1,-1,-1,-1,40,20,20,20,20
20,20,20,9,26,28,24,-1,-1,-1,-1,22,28,23,-2147483639,20
23,23,23,24,129,38,129,-1,-1,-1,-1,129,38,129,-2147483629,20
36,36,36,37,144,48,144,-1,-1,-1,-1,144,48,144,-2147483629,20
46,46,46,47,-1,58,138,-1,-1,-1,-1,123,58,-1,-2147483629,20
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2147483629,20
7,7,7,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2147483629,20
20,20,20,19,-1,-1,-1,-1,-1,-1,-1,-1,106,76,-2147483629,20
20,20,20,29,7,7,7,7,7,7,7,7,7,7,-1073741815,20
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
